,gis_id,chronology,hierarchy,sb_name,su_name,x,z
413,1300,12,3,topo,,7568.6535,118.994505
414,1301,12,3,topo,,7573.5923,118.040705
415,1302,12,3,topo,,7578.5313,118.00000500000002
416,1303,12,3,topo,,7579.2091,118.00000500000002
417,1304,12,3,topo,,6878.1319,123.78140499999999
418,1305,12,3,topo,,6879.4927,124.00000500000002
419,1306,12,3,topo,,6884.4817,124.00000500000002
420,1311,12,3,topo,,6909.4267,122.732905
421,1312,12,3,topo,,6914.4157,122.487705
422,1313,12,3,topo,,6919.4047,120.50580500000001
423,1314,12,3,topo,,6924.3937,120.00000500000002
424,1315,12,3,topo,,6929.3827,120.00000500000002
425,1316,12,3,topo,,6934.3717,120.00000500000002
426,1321,12,3,topo,,6959.3169,120.00000500000002
427,1322,12,3,topo,,6964.3059,119.85070499999999
428,1323,12,3,topo,,6969.2949,118.99140500000001
429,1326,12,3,topo,,6984.2619,119.00000500000002
430,1327,12,3,topo,,6989.2509,119.009805
431,1328,12,3,topo,,6994.2399,119.224305
432,1329,12,3,topo,,6999.2289,120.00000500000002
433,1330,12,3,topo,,7004.2179,120.00000500000002
434,1331,12,3,topo,,7009.2069,120.00000500000002
435,1332,12,3,topo,,7014.1959,120.00000500000002
436,1333,12,3,topo,,7019.1849,120.00000500000002
437,1337,12,3,topo,,7039.1411,120.00000500000002
438,1338,12,3,topo,,7044.1301,120.00000500000002
439,1339,12,3,topo,,7049.1191,120.00000500000002
440,1340,12,3,topo,,7054.1081,120.00000500000002
441,1341,12,3,topo,,7058.9905,120.00000500000002
442,1347,12,3,topo,,7088.2847,120.00000500000002
443,1348,12,3,topo,,7093.1671,120.012505
444,1349,12,3,topo,,7098.0495,120.761105
445,1350,12,3,topo,,7102.9319,121.00000500000002
446,1351,12,3,topo,,7107.8143,121.00000500000002
447,1357,12,3,topo,,7137.1085,120.31780499999999
448,1358,12,3,topo,,7141.9909,119.577705
449,1359,12,3,topo,,7146.8733,119.00000500000002
450,1360,12,3,topo,,7151.7557,119.00000500000002
451,1361,12,3,topo,,7156.6381,119.00000500000002
452,1362,12,3,topo,,7161.5205,119.00000500000002
453,1363,12,3,topo,,7166.4027,119.00000500000002
454,1364,12,3,topo,,7171.2851,119.00000500000002
455,1365,12,3,topo,,7176.2605,119.00000500000002
456,1366,12,3,topo,,7181.2357,119.00000500000002
457,1367,12,3,topo,,7186.2109,119.00000500000002
458,1374,12,3,topo,,7221.0377,123.06270500000001
459,1375,12,3,topo,,7226.0131,124.11730500000002
460,1376,12,3,topo,,7230.9883,127.558805
461,1377,12,3,topo,,7235.9635,127.901205
462,1378,12,3,topo,,7240.9389,129.00000500000002
463,1379,12,3,topo,,7244.6031,129.00000500000002
464,1388,12,3,topo,,8229.3387,116.00000500000002
465,1389,12,3,topo,,8234.3265,116.00000500000002
466,1390,12,3,topo,,8239.3141,116.00000500000002
467,1391,12,3,topo,,8244.3019,116.00000500000002
468,1392,12,3,topo,,8249.2895,116.00000500000002
469,1393,12,3,topo,,8254.2773,116.00000500000002
470,1394,12,3,topo,,8259.2649,116.00000500000002
471,1395,12,3,topo,,8264.2527,115.751605
472,1396,12,3,topo,,8269.2403,115.81990499999999
473,1397,12,3,topo,,8274.2281,115.92500500000001
474,1410,12,3,topo,,8339.0681,116.00000500000002
475,1411,12,3,topo,,8344.0559,116.00000500000002
476,1412,12,3,topo,,8349.0435,115.928105
